,dias_cursado,semestre_año,nota_final_materia,fecha_mesa_epoch,nombre_examen,nota_parcial,id_tarea,nombre_de_la_tarea,fecha_creacion_tarea,vencimiento_tarea,apertura_tarea,cierre_tarea,puntos_posibles,nombre_entrega,id_entrega_tarea,puntaje,formato_entrega,fecha_entrega,fecha_correccion,id_usuario,id_curso,nombre_curso,legajo
266,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199897.0,Trabajo Práctico 2 [TP2],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],18b3588c-023c-41ad-80fa-b0de41371ac0,95.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
267,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199892.0,Trabajo Práctico 1 [TP1],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 3 [TP3],1fafd0a6-7c58-4377-be82-def4f1d66b26,85.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
268,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199892.0,Trabajo Práctico 1 [TP1],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 2 [TP2],773b7bb4-12c4-4ac5-82de-593e407c17eb,50.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
269,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199892.0,Trabajo Práctico 1 [TP1],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],18b3588c-023c-41ad-80fa-b0de41371ac0,95.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
270,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199886.0,Trabajo Práctico 4 [TP4],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 3 [TP3],1fafd0a6-7c58-4377-be82-def4f1d66b26,85.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
271,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199886.0,Trabajo Práctico 4 [TP4],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 2 [TP2],773b7bb4-12c4-4ac5-82de-593e407c17eb,50.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
272,57,1-2022,7.0,2022-07-05,INTEGRADOR(30),5.0,199886.0,Trabajo Práctico 4 [TP4],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],18b3588c-023c-41ad-80fa-b0de41371ac0,95.0,online_quiz,2022-07-05,2022-07-05,5e19673c-3ec4-4f0a-aeea-0ea04f8df15d,92e3706e-034f-4e9b-b6bd-c1c65b23d129,Stand-alone object-oriented process improvement,611116RYS
273,19,1-2022,9.0,2022-04-11,PRIMER PARCIAL(20),8.0,205838.0,Actividad Práctica Integradora 1 [API1],2022-03-16,2022-04-11,2022-03-21,2022-04-11,100.0,Trabajo Práctico 1 [TP1],4241447f-e49c-44e3-826a-9ca06175f16a,32.0,online_upload,2022-04-11,2022-04-14,f2dbd20e-13f8-4d5c-b4ee-70b5ed837d5a,315d9355-3583-4e8a-8a25-6677140a11d7,Customer-focused multi-state open architecture,694137GRI
274,35,1-2022,6.0,2022-06-15,PRIMER PARCIAL(20),5.0,209012.0,Trabajo Práctico 1 [TP1],2022-04-19,2022-06-14,2022-05-23,2022-06-14,100.0,Actividad Práctica Integradora 2 [API2],aa0190e8-5e5e-4107-b4cb-427237b87880,81.8,external_tool,2022-06-14,2022-06-14,c3971b3f-fe66-45a1-a81a-9426a14d62c5,e14f5a9d-992e-4d5f-b9e2-a0c723b4219b,Cloned radical algorithm,461434CGD
275,21,1-2022,6.0,2022-04-19,PRIMER PARCIAL(20),8.0,195449.0,Trabajo Práctico 1 [TP1],2022-02-24,2022-04-19,2022-03-21,2022-04-19,100.0,Trabajo Práctico 1 [TP1],8a4e6277-606e-4fa5-86ce-fa8a8aa8842a,30.0,online_upload,2022-04-19,2022-05-01,4039e80c-c747-4149-ba04-75297aaa45b3,7accaa21-b42f-443b-915c-6c2d5ee6d95c,Digitized actuating moderator,814849GCP
276,40,1-2022,5.0,2022-05-03,SEGUNDO PARCIAL(20),4.0,197462.0,Actividad Práctica Integradora 3 [API3],2022-02-24,2022-05-02,2022-03-21,2022-05-02,100.0,Trabajo Práctico 3 [TP3],c2842c66-22fa-4d03-a94d-b21e7153e061,85.0,online_quiz,2022-05-02,2022-05-02,bfe9cb00-8bd1-455b-bf25-b54554be7953,04f8bae9-333a-4269-95b4-bde0b0965cf7,Stand-alone system-worthy access,993360FIG
277,40,1-2022,5.0,2022-05-03,SEGUNDO PARCIAL(20),4.0,197462.0,Actividad Práctica Integradora 3 [API3],2022-02-24,2022-05-02,2022-03-21,2022-05-02,100.0,Actividad Práctica Integradora 4 [API4],fd9e9137-3de2-4316-b033-dd23fb2ad09a,100.0,external_tool,2022-05-02,2022-05-02,bfe9cb00-8bd1-455b-bf25-b54554be7953,04f8bae9-333a-4269-95b4-bde0b0965cf7,Stand-alone system-worthy access,993360FIG
